12,Impact of HR Practices Development on Employee Engagement in Banking Sector of Pakistan,2011,../../Images/Research/blank.pdf,Book,"Rehman,C. A, Sardar,S. and, Yousaf, U., Aijaz, A.",English,Lahore,"IJCRB, Vol.2, No.9",
15,Productivity Trends in Pakistan: An Analysis of Services Sector,2011,../../Images/Research/blank.pdf,Book,"Ahmad, K., Ilyas, M.",English,lahore,"Interdisciplinary Journal of Contemporary Research in Business, Vol. 2, No. 12",
19,Materials  Science  and Engineering,2011,../../Images/Research/blank.pdf,Book,"Shah, S.A., Hashmi, M.U., S.  Alam, A.  Shamim ",English,lahore,C 31 (2011) 1010-1016,
20,Current Medicinal Chemistry,2011,../../Images/Research/blank.pdf,Book,"Shah, S.A., Hashmi, M.U., S. Alam A. Shamim",English,lahore,(Special Issue Abstracts) (2011) 207-208.,
31,Determinants of Foreign Direct Investment and its impact on GDP Growth in Pakistan,2011,../../Images/Research/blank.pdf,Book,Orangzeb ,English,lahore,"Interdisciplinary Journal of Contemporary Research in Business, Vol.2, No.9,",
34,Impact of HR practices on employee engagement in banking sector of Pakistan,2011,../../Images/Research/blank.pdf,Book,"Asad,A.,Hussain,R. I., Nayyab,H., Ashraf, M. and  Adnan,S. ",English,lahore,"International Journal of Contemporary research in Business, Vol .3, No. 1",
35,Selection criteria for Islamic home financing: a case study of Pakistan,2011,../../Images/Research/blank.pdf,Book,"Hamid, A.,and  Masood , O. ",English,lahore,"Qualitative Research in Financial Markets, Vol. 3 Iss: 2, pp.117 – 130",
39,Impact of Global Financial Crisis on the Health of Pakistani Banks,2011,../../Images/Research/blank.pdf,Book,"Ejaz,A., Yousaf,U., Naqvi,F.N., Sardar, S., and  Usman, B. ",English,lahore,"IJCRB Vol .2, No.12",
40,Causes of Disrespectful Behavior at Workplace: A Study on Doctors of Public Sector Hospitals in Pakistan,2011,../../Images/Research/blank.pdf,Book,"Yousaf,U;  Ejaz, A; Usman, B; Sardar, S. ",English,lahore,"IJCRB ,Vol .2, No. 10.",
43,Standard bases over Rings,2010,../../Images/Research/blank.pdf,Book,"Sadiq, A.",English,lahore,"International Journal of Algebra and Computation, Vol. 20, No. 7 (2010) 953-968.",
44,The F4 algorithm for Euclidean Rings,2010,../../Images/Research/blank.pdf,Book,"Sadiq, A.",English,lahore,"Cent. Eur. J.Math. 8(6), (2010) 1156-1159.",
63,Proposed Model Of HRM And Performance Among Teachers : A Developing Country Perspective,2010,../../Images/Research/blank.pdf,Book,"Rehman, CA ",English,lahore,"ICMR 2010 ,Superior University, Lahore , Pakistan , 2nd December 2010",
64,Factors effecting the investment Decisions of individual investors in developing countries,2010,../../Images/Research/blank.pdf,Book,"Rehman, CA ",English,lahore,"Superior University, Lahore , Pakistan , 2nd December 2010",
65,DETERMINANTS OF MANUFACTURING VALUE ADDED IN PAKISTAN: AN APPLICATION OF BOUNDS TESTING APPROACH TO COINTEGRATION,2010,../../Images/Research/Manufacturing.pdf,Journal Article,Muhammad Ilyas,English,Lahore,Pakistan Economic and social Review,15
66,The Impact of Infrastructure on Foreign Direct Investment: The Case of Pakistan,2011,../../Images/Research/FDI and infra structure.pdf,Journal Article,Muhammad Ilyas,English,Canada,International Journal of Business and Management,9
67,Organizational Culture and Its Impact on the Job Satisfaction of the University Teachers of Lahore,2011,../../Images/Research/3.pdf,Journal Article,"Pirzada Sami Ullah Sabri, Muhammad Ilyas and Zahra Amjad",English,"Lahore, Pakistan",International Journal of Business and Social Science,121-128
68,Growth of Islamic Banking in Pakistan by Using AID Model,2012,../../Images/Research/2.pdf,Journal Article,"Ms. Ayesha Zahid, Nadir Hussain, Kashif Islam, Faisal Aziz and Sardar Khan Ghazenfer",English,"Lahore, Pakistan",International Journal of Business and Social Science,152-164
69,Microfinance and Entrepreneurship –A Case Study of Akhuwat,2012,../../Images/Research/4.pdf,Journal Article,Dr M Ramzan,English,Pakistan,Interdisciplinary Journal of Contemporary Research in Business,20
70,Contribution on Entrepreneurship in Economic Growth,2012,../../Images/Research/5.pdf,Journal Article,Dr. Muhammad Ramzan and Muhammad Amjad Nazir,English,Pakistan,Interdisciplinary Journal of Contemporary Research in Business,22
71,Relationship between teachers’ attitude and students’ Degree completion (Mphil-management) in private sector universities of Lahore.,2012,../../Images/Research/8.pdf,Journal Article,Ayesha Kamran,English,Pakistan, Interdisciplinary Journal of Contemporary Research in Business,9
72,Relationship between teachers’ attitude and students’ Degree completion (Mphil-management) in private sector universities of Lahore.,2012,../../Images/Research/8 done.pdf,Journal Article,Ayesha Kamran,English,Pakistan,Interdisciplinary Journal of Contemporary Research in Business,9
73,Challenges and failure of Implementation of Basel Accord II and reasons to adopt Basel III both in Islamic and Conventional Banks,2012,../../Images/Research/9.pdf,Journal Article,"Muhammad Sajjad Hussain, Waqas Akhtar, Waqar Naeem and Khalil Ahmad",English,Pakistan,International Journal of Business and Social Research,26
74,Financial Performance Assessment of Banks: A Case of Pakistani Public Sector Banks,2012,../../Images/Research/10.pdf,Journal Article,"Shahid Munir, Rao qasim iqbal, Muhammad Ahmad and Ali Raza",English,Pakistan,The Special Issue on Social Science Research,8
75,Challenges and failure of Implementation of Basel Accord II and reasons to adopt Basel III both in Islamic and Conventional Banks,2012,../../Images/Research/9 done.pdf,Journal Article,"Muhammad Sajjad Hussain, Waqas Akhtar, Waqar Naeem and Khalil Ahmad",English,Pakistan,International Journal of Business and Social Research,26
76, Factors Affecting Small-Business Performance in Punjab-Pakistan: A Gender Based Analysis,2012,../../Images/Research/11.pdf,Journal Article,"Muhammad Haris Qureshi, Qamar Zaman and Muhammad Yasir",English,Pakistan, Interdisciplinary Journal of Contemporary Research in Business,11
77,Leadership Styles and Behaviors in Institutional Context,2012,../../Images/Research/12.pdf,Journal Article,"Zeeshan Ahmad Bhatti, Hafiz Ghias Ahmad, Asim Aslam, Umair Nadeem and Dr. Muhammad Ramzan",English,Pakistan, Interdisciplinary Journal of Contemporary Research in Business,19
78,The Impact of Information Systems on the Performance of Human Resources Department,2012,../../Images/Research/14.pdf,Journal Article,"Usman Sadiq, Ahmad Fareed Khan and Khurram Ikhlaq",English,Pakistan,Journal of Business Studies Quarterly,
79,Effect  of Different Cao/Mgo Ratios on the Structural and Mechanical Properties of Bioactive Glass –Ce-Ramics,2012,../../Images/Research/16.pdf,Journal Article,M. U. Hashmi,English,Pakistan,Ceramics – Silikáty,5
80,Super cooling Agent Icilin Blocks a Warmth-Sensing Ion Channel TRPV3,2012,../../Images/Research/17.pdf,Journal Article,Muhammad Azhar Sherkheli,English,Pakistan,The Scientific World Journal,8
81,A Learning and Improvement Model in Entrepreneurial Leadership,2013,../../Images/Research/3.pdf,Journal Article,Ashfaq Ahmed,English,Pakistan,IOSR Journal of Business and Management,11
82,Effects of Job Stress on Employees Job Performance A Study on Banking Sector of Pakistan,2013,../../Images/Research/4.pdf,Journal Article,Ashfaq Ahmed,English,Pakistan,IOSR Journal of Business and Management,8
83, Image Building in Air Line Industry: A Case Of Pakistan International Airline,2013,../../Images/Research/5.pdf,Journal Article,"Muhammad Zaheer, Muhammad Tahir Akbar and Dr.Muhammad Ramzan",English,Pakistan, Interdisciplinary Journal of Contemporary Research in Business,13
